SF,Model,Query,n,median,std,min,max,IQR,CV_%
1,B1,Q3_B1,20.0,84.6,2.5,81.9,93.3,1.5,3.0
1,B2,Q3_B2,20.0,71.4,2.0,68.7,76.6,2.4,2.8
1,B3,Q3_B3,20.0,80.1,3.7,75.7,91.6,4.2,4.7
1,B4,Q3_B4_day,20.0,912.0,63.8,811.6,1007.4,97.1,7.0
1,B4,Q3_B4_month,20.0,990.3,68.0,930.2,1230.6,79.9,6.9
1,C1,Q3_Both,20.0,69.8,3.0,66.9,77.6,3.7,4.3
1,C1,Q3_Month,20.0,73.4,2.5,69.0,79.0,3.0,3.4
1,C1,Q3_Year,20.0,72.5,3.5,70.0,85.0,3.1,4.8
10,B1,Q3_B1,20.0,235.6,18.9,230.8,319.1,5.1,8.0
10,B2,Q3_B2,20.0,88.4,2.8,85.6,96.2,1.8,3.1
10,B3,Q3_B3,20.0,69.7,3.8,67.0,83.5,2.1,5.4
10,B4,Q3_B4_day,20.0,5329.7,167.7,5017.4,5535.7,310.3,3.1
10,B4,Q3_B4_month,20.0,5663.5,189.5,5273.5,6011.3,269.0,3.3
10,C1,Q3_Both,20.0,70.9,1.7,68.4,74.4,2.8,2.4
10,C1,Q3_Month,20.0,76.8,3.4,74.6,89.0,3.1,4.5
10,C1,Q3_Year,20.0,82.9,5.3,80.3,101.0,3.4,6.3
